reflat;reflon;refFloor;refRoom;cpslat;cpslon;cpsFloor;cpsRoom;pressure;error;scantime;wifis...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55.710945;13.210204;0;point1;55.71114;13.21043;0;;1000.81;25.89559295;03.04.2019 15:18;wifi=6c:19:8f:f4:48:07,,-87;b4:5d:50:01:cc:02,,-82;b4:5d:50:01:cc:01,,-81;a8:bd:27:24:e7:81,,-81;70:3a:0e:9b:5b:22,,-81;70:3a:0e:9b:5b:21,,-80;a8:bd:27:24:e8:61,,-80;b4:5d:50:ea:ab:d0,,-65;b4:5d:50:ea:ab:d1,,-65;b4:5d:50:ea:ab:d2,,-65;b4:5d:50:ea:ab:c0,,-65;b4:5d:50:ea:ab:c1,,-65;b4:5d:50:ea:ab:c2,,-65;06:d6:aa:09:e4:e6,,-37;;;;;;;;;;;;;;;;;;;;;
55.710993;13.210204;0;point1;55.71116;13.21048;0;;1000.8;25.37242414;03.04.2019 15:18;wifi=70:3a:0e:9b:5b:30,,-86;a8:bd:27:24:ea:90,,-86;a8:bd:27:24:ea:91,,-86;70:3a:0e:9b:5b:31,,-86;70:3a:0e:9b:5b:32,,-86;a8:bd:27:24:ea:92,,-86;a8:bd:27:24:e7:81,,-85;70:3a:0e:9b:4e:61,,-85;70:3a:0e:a7:8a:e1,,-80;b4:5d:50:ea:ab:d0,,-74;b4:5d:50:ea:ab:d1,,-73;b4:5d:50:ea:ab:d2,,-73;70:3a:0e:9b:5b:22,,-72;70:3a:0e:9b:5b:20,,-72;b4:5d:50:ea:ab:c2,,-65;b4:5d:50:ea:ab:c0,,-60;b4:5d:50:ea:ab:c1,,-55;06:d6:aa:09:e4:e6,,-35;;;;;;;;;;;;;;;;;
55.711041;13.210203;0;point1;55.71115;13.21042;0;;1000.81;18.21224266;03.04.2019 15:18;wifi=a8:bd:27:24:ea:90,,-88;70:3a:0e:a7:8a:01,,-88;a8:bd:27:24:ea:91,,-87;a8:bd:27:24:ea:92,,-87;70:3a:0e:9b:5b:30,,-86;70:3a:0e:9b:5b:31,,-86;70:3a:0e:9b:5b:32,,-86;a8:bd:27:24:e7:81,,-85;70:3a:0e:9b:4e:61,,-85;b4:5d:50:ea:ab:d1,,-83;70:3a:0e:9b:49:c1,,-83;b4:5d:50:ea:ab:d0,,-82;b4:5d:50:ea:ab:d2,,-82;70:3a:0e:9b:49:c0,,-81;70:3a:0e:9b:49:c2,,-81;70:3a:0e:a7:8a:e1,,-80;b4:5d:50:ea:ab:c1,,-74;70:3a:0e:9b:5b:22,,-72;70:3a:0e:9b:5b:20,,-72;b4:5d:50:ea:ab:c0,,-60;06:d6:aa:09:e4:e6,,-40;;;;;;;;;;;;;;
55.711089;13.210202;0;point1;55.71118;13.21042;0;;1000.78;16.99660023;03.04.2019 15:18;wifi=70:3a:0e:a7:87:11,,-89;70:3a:0e:a7:8a:01,,-88;b4:5d:50:0b:90:41,,-87;b4:5d:50:0b:90:40,,-86;b4:5d:50:ea:ab:d0,,-85;b4:5d:50:ea:ab:d1,,-85;b4:5d:50:ea:ab:d2,,-85;a8:bd:27:24:ea:90,,-82;a8:bd:27:24:ea:91,,-81;a8:bd:27:24:ea:92,,-81;ac:7f:3e:ec:15:eb,,-77;b4:5d:50:ea:ab:c1,,-74;70:3a:0e:9b:49:c2,,-70;ac:7f:3e:ec:15:ea,,-70;70:3a:0e:9b:49:c0,,-68;70:3a:0e:9b:49:c1,,-68;b4:5d:50:01:cc:00,,-64;b4:5d:50:01:cc:02,,-64;b4:5d:50:01:cc:01,,-62;06:d6:aa:09:e4:e6,,-38;;;;;;;;;;;;;;;
55.711137;13.210202;0;point1;55.71117;13.21028;0;;1000.81;6.110618695;03.04.2019 15:18;wifi=70:3a:0e:a7:87:10,,-88;70:3a:0e:a7:87:12,,-88;70:3a:0e:a7:87:11,,-87;b4:5d:50:0b:90:41,,-87;b4:5d:50:0b:90:40,,-86;a8:bd:27:24:ea:90,,-83;a8:bd:27:24:ea:91,,-83;a8:bd:27:24:ea:92,,-83;70:3a:0e:9b:49:c1,,-83;70:3a:0e:9b:49:c0,,-82;ac:7f:3e:ec:15:eb,,-81;a8:bd:27:24:ea:82,,-81;70:3a:0e:9b:49:c2,,-80;b4:5d:50:ea:ab:d0,,-75;b4:5d:50:ea:ab:d1,,-75;b4:5d:50:ea:ab:d2,,-75;b4:5d:50:ea:ab:c1,,-74;ac:7f:3e:ec:15:ea,,-65;b4:5d:50:01:cc:00,,-64;b4:5d:50:01:cc:02,,-64;b4:5d:50:01:cc:01,,-57;06:d6:aa:09:e4:e6,,-42;;;;;;;;;;;;;
55.711157;13.210201;0;point2;55.71117;13.21017;0;;1000.82;2.422245802;03.04.2019 15:18;wifi=70:3a:0e:a7:87:10,,-88;70:3a:0e:a7:87:11,,-87;70:3a:0e:a7:87:12,,-87;ac:7f:3e:ec:15:eb,,-86;a8:bd:27:24:e7:b0,,-86;a8:bd:27:24:e7:b1,,-86;a8:bd:27:24:e7:b2,,-86;70:3a:0e:9b:49:c1,,-83;70:3a:0e:9b:49:c0,,-82;b4:5d:50:ea:ab:d0,,-81;b4:5d:50:ea:ab:d2,,-81;a8:bd:27:24:ea:82,,-81;b4:5d:50:ea:ab:d1,,-80;b4:5d:50:ea:ab:c1,,-80;70:3a:0e:9b:49:c2,,-80;b4:5d:50:ea:ab:c0,,-79;b4:5d:50:ea:ab:c2,,-79;a8:bd:27:24:ea:80,,-71;a8:bd:27:24:ea:90,,-70;a8:bd:27:24:ea:91,,-70;a8:bd:27:24:ea:92,,-70;ac:7f:3e:ec:15:ea,,-65;b4:5d:50:01:cc:01,,-59;b4:5d:50:01:cc:00,,-59;b4:5d:50:01:cc:02,,-59;06:d6:aa:09:e4:e6,,-41;;;;;;;;;
55.711208;13.2102;0;point2;55.71121;13.21024;0;;1000.83;2.515337547;03.04.2019 15:18;wifi=ac:7f:3e:ec:15:eb,,-90;a8:bd:27:24:e7:b0,,-86;a8:bd:27:24:e7:b1,,-86;a8:bd:27:24:e7:b2,,-86;70:3a:0e:a7:87:11,,-85;70:3a:0e:a7:87:10,,-85;70:3a:0e:a7:87:12,,-85;a8:bd:27:24:e7:a2,,-84;a8:bd:27:24:e7:a0,,-83;a8:bd:27:24:e7:a1,,-83;b4:5d:50:ea:ab:d0,,-82;b4:5d:50:ea:ab:d1,,-82;b4:5d:50:ea:ab:d2,,-82;a8:bd:27:24:ea:90,,-82;a8:bd:27:24:ea:91,,-81;a8:bd:27:24:ea:92,,-81;b4:5d:50:ea:ab:c1,,-80;b4:5d:50:ea:ab:c0,,-79;b4:5d:50:ea:ab:c2,,-79;a8:bd:27:24:ea:80,,-71;a8:bd:27:24:ea:81,,-71;b4:5d:50:01:cc:01,,-66;b4:5d:50:01:cc:00,,-63;b4:5d:50:01:cc:02,,-63;06:d6:aa:09:e4:e6,,-47;;;;;;;;;;
55.711258;13.2102;0;point2;55.71123;13.21048;0;;1000.83;17.81447649;03.04.2019 15:19;wifi=ac:7f:3e:ec:15:eb,,-90;a8:bd:27:24:ea:92,,-88;70:3a:0e:a7:87:11,,-88;a8:bd:27:24:ea:91,,-87;ac:7f:3e:ec:15:ea,,-87;a8:bd:27:24:ea:90,,-86;70:3a:0e:a7:87:10,,-85;70:3a:0e:a7:87:12,,-85;70:3a:0e:9b:5c:c2,,-83;b4:5d:50:ea:ab:d0,,-82;b4:5d:50:ea:ab:d1,,-82;b4:5d:50:ea:ab:d2,,-82;b4:5d:50:ea:ab:c0,,-82;70:3a:0e:9b:5c:c0,,-82;b4:5d:50:ea:ab:c2,,-81;a8:bd:27:24:ea:82,,-81;a8:bd:27:24:e7:a0,,-80;a8:bd:27:24:e7:a1,,-80;a8:bd:27:24:e7:a2,,-80;b4:5d:50:ea:ab:c1,,-79;70:3a:0e:a7:8a:00,,-73;a8:bd:27:24:ea:80,,-71;a8:bd:27:24:ea:81,,-71;b4:5d:50:01:cc:02,,-67;b4:5d:50:01:cc:01,,-66;b4:5d:50:01:cc:00,,-63;06:d6:aa:09:e4:e6,,-41;;;;;;;;
55.711289;13.2102;0;point3;55.71127;13.21066;0;;1000.77;28.89325809;03.04.2019 15:19;wifi=70:3a:0e:a7:87:12,,-89;70:3a:0e:a7:87:11,,-88;70:3a:0e:a7:87:10,,-88;70:3a:0e:a7:8a:01,,-86;70:3a:0e:9b:5c:c1,,-85;b4:5d:50:ea:ab:c1,,-84;b4:5d:50:ea:ab:c2,,-84;a8:bd:27:24:ea:81,,-84;a8:bd:27:24:e7:b1,,-83;a8:bd:27:24:e7:b0,,-83;a8:bd:27:24:e7:b2,,-83;a8:bd:27:24:ea:90,,-82;a8:bd:27:24:ea:91,,-82;a8:bd:27:24:ea:92,,-82;a8:bd:27:24:ea:80,,-81;a8:bd:27:24:e7:a2,,-77;a8:bd:27:24:e7:a0,,-76;b4:5d:50:01:cc:01,,-75;b4:5d:50:01:cc:00,,-74;b4:5d:50:01:cc:02,,-74;a8:bd:27:24:e7:a1,,-73;06:d6:aa:09:e4:e6,,-39;;;;;;;;;;;;;
55.711258;13.210244;0;point3;55.71122;13.21046;0;;1000.82;14.1755917;03.04.2019 15:19;wifi=70:3a:0e:a7:87:10,,-87;70:3a:0e:a7:87:12,,-87;70:3a:0e:a7:87:11,,-86;70:3a:0e:9b:56:e1,,-86;a8:bd:27:24:ea:90,,-84;a8:bd:27:24:ea:91,,-84;a8:bd:27:24:ea:92,,-84;a8:bd:27:24:ea:81,,-84;a8:bd:27:24:e7:b1,,-83;a8:bd:27:24:e7:b0,,-83;a8:bd:27:24:e7:b2,,-83;a8:bd:27:24:ea:80,,-81;b4:5d:50:ea:ab:c2,,-77;a8:bd:27:24:e7:a2,,-77;a8:bd:27:24:e7:a0,,-76;b4:5d:50:ea:ab:c0,,-76;b4:5d:50:ea:ab:c1,,-75;b4:5d:50:01:cc:01,,-75;b4:5d:50:01:cc:00,,-74;b4:5d:50:01:cc:02,,-74;70:3a:0e:a7:8a:01,,-74;a8:bd:27:24:e7:a1,,-73;b4:5d:50:ea:ab:d1,,-70;b4:5d:50:ea:ab:d0,,-70;b4:5d:50:ea:ab:d2,,-70;06:d6:aa:09:e4:e6,,-39;;;;;;;;;
